left_len,right_len,total_empty,n,first,current_gap_m,current_gap_left,current_gap_right,current_pos,response_gap_m,response_gap_left,response_gap_right,response_pos
2,15,17,18,2,15,0,2,5,5,0,2,2
2,15,17,18,2,15,0,2,6,6,0,2,2
2,15,17,18,2,15,0,2,7,7,0,2,3
2,15,17,18,2,15,0,2,8,6,1,2,2
2,15,17,18,2,15,0,2,9,5,1,2,1
2,15,17,18,2,15,0,2,10,4,1,2,2
2,15,17,18,2,15,0,2,11,3,1,2,1
2,15,17,18,2,15,0,2,12,12,0,2,2
2,15,17,18,2,15,0,2,13,13,0,2,2
2,16,18,19,2,16,0,2,1,14,1,2,1
2,16,18,19,2,16,0,2,2,13,1,2,2
2,16,18,19,2,16,0,2,3,3,0,2,1
2,16,18,19,2,16,0,2,4,4,0,2,1
2,16,18,19,2,16,0,2,5,5,0,2,1
2,16,18,19,2,16,0,2,6,6,0,2,1
2,16,18,19,2,16,0,2,7,7,0,2,2
2,16,18,19,2,16,0,2,8,7,1,2,2
2,16,18,19,2,16,0,2,9,6,1,2,1
2,16,18,19,2,16,0,2,10,5,1,2,2
2,16,18,19,2,16,0,2,11,4,1,2,2
2,16,18,19,2,16,0,2,12,3,1,2,1
2,16,18,19,2,16,0,2,13,13,0,2,1
2,16,18,19,2,16,0,2,14,14,0,2,1
2,17,19,20,2,17,0,2,1,15,1,2,0
2,17,19,20,2,17,0,2,2,14,1,2,1
2,17,19,20,2,17,0,2,3,13,1,2,1
2,17,19,20,2,17,0,2,4,4,0,2,2
2,17,19,20,2,17,0,2,5,5,0,2,2
2,17,19,20,2,17,0,2,6,6,0,2,2
2,17,19,20,2,17,0,2,7,7,0,2,2
2,17,19,20,2,17,0,2,8,8,0,2,4
2,17,19,20,2,17,0,2,9,7,1,2,2
2,17,19,20,2,17,0,2,10,6,1,2,1
2,17,19,20,2,17,0,2,11,5,1,2,1
2,17,19,20,2,17,0,2,12,4,1,2,1
2,17,19,20,2,17,0,2,13,3,1,2,1
2,17,19,20,2,17,0,2,14,14,0,2,2
2,17,19,20,2,17,0,2,15,15,0,2,2
2,18,20,21,2,18,0,2,1,16,1,2,1
2,18,20,21,2,18,0,2,2,15,1,2,2
2,18,20,21,2,18,0,2,3,3,0,2,1
2,18,20,21,2,18,0,2,4,4,0,2,1
2,18,20,21,2,18,0,2,5,5,0,2,1
2,18,20,21,2,18,0,2,6,6,0,2,1
2,18,20,21,2,18,0,2,7,7,0,2,1
2,18,20,21,2,18,0,2,8,8,0,2,2
2,18,20,21,2,18,0,2,9,8,1,2,2
2,18,20,21,2,18,0,2,10,7,1,2,1
2,18,20,21,2,18,0,2,11,6,1,2,1
2,18,20,21,2,18,0,2,12,5,1,2,2
2,18,20,21,2,18,0,2,13,4,1,2,1
2,18,20,21,2,18,0,2,14,3,1,2,1
2,18,20,21,2,18,0,2,15,15,0,2,1
2,18,20,21,2,18,0,2,16,16,0,2,1
2,19,21,22,2,19,0,2,1,17,1,2,0
2,19,21,22,2,19,0,2,2,16,1,2,1
2,19,21,22,2,19,0,2,3,15,1,2,1
2,19,21,22,2,19,0,2,4,4,0,2,2
2,19,21,22,2,19,0,2,5,5,0,2,2
2,19,21,22,2,19,0,2,6,6,0,2,2
2,19,21,22,2,19,0,2,7,7,0,2,2
2,19,21,22,2,19,0,2,8,8,0,2,2
2,19,21,22,2,19,0,2,9,9,0,2,3
2,19,21,22,2,19,0,2,10,8,1,2,2
2,19,21,22,2,19,0,2,11,7,1,2,1
2,19,21,22,2,19,0,2,12,6,1,2,1
2,19,21,22,2,19,0,2,13,5,1,2,2
2,19,21,22,2,19,0,2,14,4,1,2,1
2,19,21,22,2,19,0,2,15,15,0,2,2
2,19,21,22,2,19,0,2,16,16,0,2,2
2,19,21,22,2,19,0,2,17,17,0,2,2
2,20,22,23,2,20,0,2,1,18,1,2,1
2,20,22,23,2,20,0,2,2,17,1,2,2
2,20,22,23,2,20,0,2,3,3,0,2,1
2,20,22,23,2,20,0,2,4,4,0,2,1
2,20,22,23,2,20,0,2,5,5,0,2,1
2,20,22,23,2,20,0,2,6,6,0,2,1
2,20,22,23,2,20,0,2,7,7,0,2,1
2,20,22,23,2,20,0,2,8,8,0,2,1
2,20,22,23,2,20,0,2,9,9,0,2,2
2,20,22,23,2,20,0,2,10,9,1,2,2
2,20,22,23,2,20,0,2,11,8,1,2,1
2,20,22,23,2,20,0,2,12,7,1,2,2
2,20,22,23,2,20,0,2,13,6,1,2,1
2,20,22,23,2,20,0,2,14,5,1,2,1
2,20,22,23,2,20,0,2,15,4,1,2,2
2,20,22,23,2,20,0,2,16,3,1,2,1
2,20,22,23,2,20,0,2,17,17,0,2,1
2,20,22,23,2,20,0,2,18,18,0,2,1
2,21,23,24,2,21,0,2,1,19,1,2,0
2,21,23,24,2,21,0,2,2,18,1,2,1
2,21,23,24,2,21,0,2,3,17,1,2,1
2,21,23,24,2,21,0,2,4,4,0,2,2
2,21,23,24,2,21,0,2,5,5,0,2,2
2,21,23,24,2,21,0,2,6,6,0,2,2
2,21,23,24,2,21,0,2,7,7,0,2,2
2,21,23,24,2,21,0,2,8,8,0,2,2
2,21,23,24,2,21,0,2,9,9,0,2,2
2,21,23,24,2,21,0,2,10,10,0,2,3
2,21,23,24,2,21,0,2,11,9,1,2,2
2,21,23,24,2,21,0,2,12,8,1,2,1
2,21,23,24,2,21,0,2,13,7,1,2,2
2,21,23,24,2,21,0,2,14,6,1,2,1
2,21,23,24,2,21,0,2,15,5,1,2,1
2,21,23,24,2,21,0,2,16,4,1,2,1
2,21,23,24,2,21,0,2,17,3,1,2,1
2,21,23,24,2,21,0,2,18,18,0,2,2
2,21,23,24,2,21,0,2,19,19,0,2,2
2,22,24,25,2,22,0,2,1,20,1,2,1
2,22,24,25,2,22,0,2,2,19,1,2,2
2,22,24,25,2,22,0,2,3,3,0,2,1
2,22,24,25,2,22,0,2,4,4,0,2,1
2,22,24,25,2,22,0,2,5,5,0,2,1
2,22,24,25,2,22,0,2,6,6,0,2,1
2,22,24,25,2,22,0,2,7,7,0,2,1
2,22,24,25,2,22,0,2,8,8,0,2,1
2,22,24,25,2,22,0,2,9,9,0,2,1
2,22,24,25,2,22,0,2,10,10,0,2,2
2,22,24,25,2,22,0,2,11,10,1,2,2
2,22,24,25,2,22,0,2,12,9,1,2,1
2,22,24,25,2,22,0,2,13,8,1,2,2
2,22,24,25,2,22,0,2,14,7,1,2,2
2,22,24,25,2,22,0,2,15,6,1,2,1
2,22,24,25,2,22,0,2,16,5,1,2,2
2,22,24,25,2,22,0,2,17,4,1,2,2
2,22,24,25,2,22,0,2,18,3,1,2,1
2,22,24,25,2,22,0,2,19,19,0,2,1
2,22,24,25,2,22,0,2,20,20,0,2,1
2,23,25,26,2,23,0,2,1,21,1,2,0
2,23,25,26,2,23,0,2,2,20,1,2,1
2,23,25,26,2,23,0,2,3,19,1,2,1
2,23,25,26,2,23,0,2,4,4,0,2,2
2,23,25,26,2,23,0,2,5,5,0,2,2
2,23,25,26,2,23,0,2,6,6,0,2,2
2,23,25,26,2,23,0,2,7,7,0,2,2
2,23,25,26,2,23,0,2,8,8,0,2,2
2,23,25,26,2,23,0,2,9,9,0,2,2
2,23,25,26,2,23,0,2,10,10,0,2,2
2,23,25,26,2,23,0,2,11,11,0,2,3
2,23,25,26,2,23,0,2,12,10,1,2,2
2,23,25,26,2,23,0,2,13,9,1,2,1
2,23,25,26,2,23,0,2,14,8,1,2,1
2,23,25,26,2,23,0,2,15,7,1,2,1
2,23,25,26,2,23,0,2,16,6,1,2,1
2,23,25,26,2,23,0,2,17,5,1,2,2
2,23,25,26,2,23,0,2,18,4,1,2,1
2,23,25,26,2,23,0,2,19,3,1,2,1
2,23,25,26,2,23,0,2,20,20,0,2,2
2,23,25,26,2,23,0,2,21,21,0,2,2
2,24,26,27,2,24,0,2,1,22,1,2,1
2,24,26,27,2,24,0,2,2,21,1,2,2
2,24,26,27,2,24,0,2,3,3,0,2,1
2,24,26,27,2,24,0,2,4,4,0,2,1
2,24,26,27,2,24,0,2,5,5,0,2,1
2,24,26,27,2,24,0,2,6,6,0,2,1
2,24,26,27,2,24,0,2,7,7,0,2,1
2,24,26,27,2,24,0,2,8,8,0,2,1
2,24,26,27,2,24,0,2,9,9,0,2,1
2,24,26,27,2,24,0,2,10,10,0,2,1
2,24,26,27,2,24,0,2,11,11,0,2,2
2,24,26,27,2,24,0,2,12,11,1,2,2
2,24,26,27,2,24,0,2,13,10,1,2,1
2,24,26,27,2,24,0,2,14,9,1,2,1
2,24,26,27,2,24,0,2,15,8,1,2,2
2,24,26,27,2,24,0,2,16,7,1,2,2
2,24,26,27,2,24,0,2,17,6,1,2,2
2,24,26,27,2,24,0,2,18,5,1,2,2
2,24,26,27,2,24,0,2,19,4,1,2,2
2,24,26,27,2,24,0,2,20,3,1,2,1
2,24,26,27,2,24,0,2,21,21,0,2,1
2,24,26,27,2,24,0,2,22,22,0,2,1
2,25,27,28,2,25,0,2,1,23,1,2,0
2,25,27,28,2,25,0,2,2,22,1,2,1
2,25,27,28,2,25,0,2,3,21,1,2,1
2,25,27,28,2,25,0,2,4,4,0,2,2
2,25,27,28,2,25,0,2,5,5,0,2,2
2,25,27,28,2,25,0,2,6,6,0,2,2
2,25,27,28,2,25,0,2,7,7,0,2,2
2,25,27,28,2,25,0,2,8,8,0,2,2
2,25,27,28,2,25,0,2,9,9,0,2,2
2,25,27,28,2,25,0,2,10,10,0,2,2
2,25,27,28,2,25,0,2,11,11,0,2,2
2,25,27,28,2,25,0,2,12,12,0,2,3
2,25,27,28,2,25,0,2,13,11,1,2,2
2,25,27,28,2,25,0,2,14,10,1,2,1
2,25,27,28,2,25,0,2,15,9,1,2,2
2,25,27,28,2,25,0,2,16,8,1,2,2
2,25,27,28,2,25,0,2,17,7,1,2,1
2,25,27,28,2,25,0,2,18,6,1,2,2
2,25,27,28,2,25,0,2,19,5,1,2,2
2,25,27,28,2,25,0,2,20,4,1,2,2
2,25,27,28,2,25,0,2,21,3,1,2,1
2,25,27,28,2,25,0,2,22,22,0,2,2
2,25,27,28,2,25,0,2,23,23,0,2,2
2,26,28,29,2,26,0,2,1,24,1,2,1
2,26,28,29,2,26,0,2,2,23,1,2,2
2,26,28,29,2,26,0,2,3,3,0,2,1
2,26,28,29,2,26,0,2,4,4,0,2,1
2,26,28,29,2,26,0,2,5,5,0,2,1
2,26,28,29,2,26,0,2,6,6,0,2,1
2,26,28,29,2,26,0,2,7,7,0,2,1
2,26,28,29,2,26,0,2,8,8,0,2,1
2,26,28,29,2,26,0,2,9,9,0,2,1
2,26,28,29,2,26,0,2,10,10,0,2,1
2,26,28,29,2,26,0,2,11,11,0,2,1
2,26,28,29,2,26,0,2,12,12,0,2,2
2,26,28,29,2,26,0,2,13,12,1,2,2
2,26,28,29,2,26,0,2,14,11,1,2,1
2,26,28,29,2,26,0,2,15,10,1,2,2
2,26,28,29,2,26,0,2,16,9,1,2,1
2,26,28,29,2,26,0,2,17,8,1,2,1
2,26,28,29,2,26,0,2,18,7,1,2,2
2,26,28,29,2,26,0,2,19,6,1,2,1
2,26,28,29,2,26,0,2,20,5,1,2,2
2,26,28,29,2,26,0,2,21,4,1,2,2
2,26,28,29,2,26,0,2,22,3,1,2,1
2,26,28,29,2,26,0,2,23,23,0,2,1
2,26,28,29,2,26,0,2,24,24,0,2,1
2,27,29,30,2,27,0,2,1,25,1,2,0
2,27,29,30,2,27,0,2,2,24,1,2,1
2,27,29,30,2,27,0,2,3,23,1,2,1
2,27,29,30,2,27,0,2,4,4,0,2,2
2,27,29,30,2,27,0,2,5,5,0,2,2
2,27,29,30,2,27,0,2,6,6,0,2,2
2,27,29,30,2,27,0,2,7,7,0,2,2
2,27,29,30,2,27,0,2,8,8,0,2,2
2,27,29,30,2,27,0,2,9,9,0,2,2
2,27,29,30,2,27,0,2,10,10,0,2,2
2,27,29,30,2,27,0,2,11,11,0,2,2
2,27,29,30,2,27,0,2,12,12,0,2,2
2,27,29,30,2,27,0,2,13,13,0,2,3
2,27,29,30,2,27,0,2,14,12,1,2,2
2,27,29,30,2,27,0,2,15,11,1,2,1
2,27,29,30,2,27,0,2,16,10,1,2,1
2,27,29,30,2,27,0,2,17,9,1,2,1
2,27,29,30,2,27,0,2,18,8,1,2,1
2,27,29,30,2,27,0,2,19,7,1,2,1
2,27,29,30,2,27,0,2,20,6,1,2,1
2,27,29,30,2,27,0,2,21,5,1,2,1
2,27,29,30,2,27,0,2,22,4,1,2,1
2,27,29,30,2,27,0,2,23,3,1,2,1
2,27,29,30,2,27,0,2,24,24,0,2,2
2,27,29,30,2,27,0,2,25,25,0,2,2
2,28,30,31,2,28,0,2,1,26,1,2,1
2,28,30,31,2,28,0,2,2,25,1,2,2
2,28,30,31,2,28,0,2,3,3,0,2,1
2,28,30,31,2,28,0,2,4,4,0,2,1
2,28,30,31,2,28,0,2,5,5,0,2,1
2,28,30,31,2,28,0,2,6,6,0,2,1
2,28,30,31,2,28,0,2,7,7,0,2,1
2,28,30,31,2,28,0,2,8,8,0,2,1
2,28,30,31,2,28,0,2,9,9,0,2,1
2,28,30,31,2,28,0,2,10,10,0,2,1
2,28,30,31,2,28,0,2,11,11,0,2,1
2,28,30,31,2,28,0,2,12,12,0,2,1
2,28,30,31,2,28,0,2,13,13,0,2,2
2,28,30,31,2,28,0,2,14,13,1,2,2
2,28,30,31,2,28,0,2,15,12,1,2,1
2,28,30,31,2,28,0,2,16,11,1,2,2
2,28,30,31,2,28,0,2,17,10,1,2,2
2,28,30,31,2,28,0,2,18,9,1,2,1
2,28,30,31,2,28,0,2,19,8,1,2,2
2,28,30,31,2,28,0,2,20,7,1,2,2
2,28,30,31,2,28,0,2,21,6,1,2,1
2,28,30,31,2,28,0,2,22,5,1,2,2
2,28,30,31,2,28,0,2,23,4,1,2,2
2,28,30,31,2,28,0,2,24,3,1,2,1
2,28,30,31,2,28,0,2,25,25,0,2,1
2,28,30,31,2,28,0,2,26,26,0,2,1
2,29,31,32,2,29,0,2,1,27,1,2,0
2,29,31,32,2,29,0,2,2,26,1,2,1
2,29,31,32,2,29,0,2,3,25,1,2,1
2,29,31,32,2,29,0,2,4,4,0,2,2
2,29,31,32,2,29,0,2,5,5,0,2,2
2,29,31,32,2,29,0,2,6,6,0,2,2
2,29,31,32,2,29,0,2,7,7,0,2,2
2,29,31,32,2,29,0,2,8,8,0,2,2
2,29,31,32,2,29,0,2,9,9,0,2,2
2,29,31,32,2,29,0,2,10,10,0,2,2
2,29,31,32,2,29,0,2,11,11,0,2,2
2,29,31,32,2,29,0,2,12,12,0,2,2
2,29,31,32,2,29,0,2,13,13,0,2,2
2,29,31,32,2,29,0,2,14,14,0,2,3
2,29,31,32,2,29,0,2,15,13,1,2,2
2,29,31,32,2,29,0,2,16,12,1,2,1
2,29,31,32,2,29,0,2,17,11,1,2,2
2,29,31,32,2,29,0,2,18,10,1,2,1
2,29,31,32,2,29,0,2,19,9,1,2,1
2,29,31,32,2,29,0,2,20,8,1,2,2
2,29,31,32,2,29,0,2,21,7,1,2,1
2,29,31,32,2,29,0,2,22,6,1,2,1
2,29,31,32,2,29,0,2,23,5,1,2,2
2,29,31,32,2,29,0,2,24,4,1,2,1
2,29,31,32,2,29,0,2,25,3,1,2,1
2,29,31,32,2,29,0,2,26,26,0,2,2
2,29,31,32,2,29,0,2,27,27,0,2,2
2,30,32,33,2,30,0,2,1,28,1,2,1
2,30,32,33,2,30,0,2,2,27,1,2,2
2,30,32,33,2,30,0,2,3,3,0,2,1
2,30,32,33,2,30,0,2,4,4,0,2,1
2,30,32,33,2,30,0,2,5,5,0,2,1
2,30,32,33,2,30,0,2,6,6,0,2,1
2,30,32,33,2,30,0,2,7,7,0,2,1
2,30,32,33,2,30,0,2,8,8,0,2,1
2,30,32,33,2,30,0,2,9,9,0,2,1
2,30,32,33,2,30,0,2,10,10,0,2,1
2,30,32,33,2,30,0,2,11,11,0,2,1
2,30,32,33,2,30,0,2,12,12,0,2,1
2,30,32,33,2,30,0,2,13,13,0,2,1
2,30,32,33,2,30,0,2,14,14,0,2,2
2,30,32,33,2,30,0,2,15,14,1,2,2
2,30,32,33,2,30,0,2,16,13,1,2,1
2,30,32,33,2,30,0,2,17,12,1,2,2
2,30,32,33,2,30,0,2,18,11,1,2,2
2,30,32,33,2,30,0,2,19,10,1,2,2
2,30,32,33,2,30,0,2,20,9,1,2,2
2,30,32,33,2,30,0,2,21,8,1,2,2
2,30,32,33,2,30,0,2,22,7,1,2,2
2,30,32,33,2,30,0,2,23,6,1,2,1
2,30,32,33,2,30,0,2,24,5,1,2,2
2,30,32,33,2,30,0,2,25,4,1,2,2
2,30,32,33,2,30,0,2,26,3,1,2,1
2,30,32,33,2,30,0,2,27,27,0,2,1
2,30,32,33,2,30,0,2,28,28,0,2,1
2,31,33,34,2,31,0,2,1,29,1,2,0
2,31,33,34,2,31,0,2,2,28,1,2,1
2,31,33,34,2,31,0,2,3,27,1,2,1
2,31,33,34,2,31,0,2,4,4,0,2,2
2,31,33,34,2,31,0,2,5,5,0,2,2
2,31,33,34,2,31,0,2,6,6,0,2,2
2,31,33,34,2,31,0,2,7,7,0,2,2
2,31,33,34,2,31,0,2,8,8,0,2,2
2,31,33,34,2,31,0,2,9,9,0,2,2
2,31,33,34,2,31,0,2,10,10,0,2,2
2,31,33,34,2,31,0,2,11,11,0,2,2
2,31,33,34,2,31,0,2,12,12,0,2,2
2,31,33,34,2,31,0,2,13,13,0,2,2
2,31,33,34,2,31,0,2,14,14,0,2,2
2,31,33,34,2,31,0,2,15,15,0,2,3
2,31,33,34,2,31,0,2,16,14,1,2,2
2,31,33,34,2,31,0,2,17,13,1,2,1
2,31,33,34,2,31,0,2,18,12,1,2,2
2,31,33,34,2,31,0,2,19,11,1,2,2
2,31,33,34,2,31,0,2,20,10,1,2,2
2,31,33,34,2,31,0,2,21,9,1,2,2
2,31,33,34,2,31,0,2,22,8,1,2,1
2,31,33,34,2,31,0,2,23,7,1,2,2
2,31,33,34,2,31,0,2,24,6,1,2,1
2,31,33,34,2,31,0,2,25,5,1,2,1
2,31,33,34,2,31,0,2,26,4,1,2,2
2,31,33,34,2,31,0,2,27,3,1,2,1
2,31,33,34,2,31,0,2,28,28,0,2,2
2,31,33,34,2,31,0,2,29,29,0,2,2
2,32,34,35,2,32,0,2,1,30,1,2,1
2,32,34,35,2,32,0,2,2,29,1,2,2
2,32,34,35,2,32,0,2,3,3,0,2,1
2,32,34,35,2,32,0,2,4,4,0,2,1
2,32,34,35,2,32,0,2,5,5,0,2,1
2,32,34,35,2,32,0,2,6,6,0,2,1
2,32,34,35,2,32,0,2,7,7,0,2,1
2,32,34,35,2,32,0,2,8,8,0,2,1
2,32,34,35,2,32,0,2,9,9,0,2,1
2,32,34,35,2,32,0,2,10,10,0,2,1
2,32,34,35,2,32,0,2,11,11,0,2,1
2,32,34,35,2,32,0,2,12,12,0,2,1
2,32,34,35,2,32,0,2,13,13,0,2,1
2,32,34,35,2,32,0,2,14,14,0,2,1
2,32,34,35,2,32,0,2,15,15,0,2,2
2,32,34,35,2,32,0,2,16,15,1,2,2
2,32,34,35,2,32,0,2,17,14,1,2,1
2,32,34,35,2,32,0,2,18,13,1,2,2
2,32,34,35,2,32,0,2,19,12,1,2,1
2,32,34,35,2,32,0,2,20,11,1,2,2
2,32,34,35,2,32,0,2,21,10,1,2,2
2,32,34,35,2,32,0,2,22,9,1,2,1
2,32,34,35,2,32,0,2,23,8,1,2,2
2,32,34,35,2,32,0,2,24,7,1,2,2
2,32,34,35,2,32,0,2,25,6,1,2,2
2,32,34,35,2,32,0,2,26,5,1,2,2
2,32,34,35,2,32,0,2,27,4,1,2,2
2,32,34,35,2,32,0,2,28,3,1,2,1
2,32,34,35,2,32,0,2,29,29,0,2,1
2,32,34,35,2,32,0,2,30,30,0,2,1
2,33,35,36,2,33,0,2,1,31,1,2,0
2,33,35,36,2,33,0,2,2,30,1,2,1
2,33,35,36,2,33,0,2,3,29,1,2,1
2,33,35,36,2,33,0,2,4,4,0,2,2
2,33,35,36,2,33,0,2,5,5,0,2,2
2,33,35,36,2,33,0,2,6,6,0,2,2
2,33,35,36,2,33,0,2,7,7,0,2,2
2,33,35,36,2,33,0,2,8,8,0,2,2
2,33,35,36,2,33,0,2,9,9,0,2,2
2,33,35,36,2,33,0,2,10,10,0,2,2
2,33,35,36,2,33,0,2,11,11,0,2,2
2,33,35,36,2,33,0,2,12,12,0,2,2
2,33,35,36,2,33,0,2,13,13,0,2,2
2,33,35,36,2,33,0,2,14,14,0,2,2
2,33,35,36,2,33,0,2,15,15,0,2,2
2,33,35,36,2,33,0,2,16,16,0,2,3
2,33,35,36,2,33,0,2,17,15,1,2,2
2,33,35,36,2,33,0,2,18,14,1,2,1
2,33,35,36,2,33,0,2,19,13,1,2,1
2,33,35,36,2,33,0,2,20,12,1,2,1
2,33,35,36,2,33,0,2,21,11,1,2,1
2,33,35,36,2,33,0,2,22,10,1,2,1
2,33,35,36,2,33,0,2,23,9,1,2,1
2,33,35,36,2,33,0,2,24,8,1,2,1
2,33,35,36,2,33,0,2,25,7,1,2,1
2,33,35,36,2,33,0,2,26,6,1,2,1
2,33,35,36,2,33,0,2,27,5,1,2,1
2,33,35,36,2,33,0,2,28,4,1,2,1
2,33,35,36,2,33,0,2,29,3,1,2,1
2,33,35,36,2,33,0,2,30,30,0,2,2
2,33,35,36,2,33,0,2,31,31,0,2,2
2,34,36,37,2,34,0,2,1,32,1,2,1
2,34,36,37,2,34,0,2,2,31,1,2,2
2,34,36,37,2,34,0,2,3,3,0,2,1
2,34,36,37,2,34,0,2,4,4,0,2,1
2,34,36,37,2,34,0,2,5,5,0,2,1
2,34,36,37,2,34,0,2,6,6,0,2,1
2,34,36,37,2,34,0,2,7,7,0,2,1
2,34,36,37,2,34,0,2,8,8,0,2,1
2,34,36,37,2,34,0,2,9,9,0,2,1
2,34,36,37,2,34,0,2,10,10,0,2,1
2,34,36,37,2,34,0,2,11,11,0,2,1
2,34,36,37,2,34,0,2,12,12,0,2,1
2,34,36,37,2,34,0,2,13,13,0,2,1
2,34,36,37,2,34,0,2,14,14,0,2,1
2,34,36,37,2,34,0,2,15,15,0,2,1
2,34,36,37,2,34,0,2,16,16,0,2,2
2,34,36,37,2,34,0,2,17,16,1,2,2
2,34,36,37,2,34,0,2,18,15,1,2,1
2,34,36,37,2,34,0,2,19,14,1,2,2
2,34,36,37,2,34,0,2,20,13,1,2,2
2,34,36,37,2,34,0,2,21,12,1,2,1
2,34,36,37,2,34,0,2,22,11,1,2,2
2,34,36,37,2,34,0,2,23,10,1,2,2
2,34,36,37,2,34,0,2,24,9,1,2,1
2,34,36,37,2,34,0,2,25,8,1,2,2
2,34,36,37,2,34,0,2,26,7,1,2,2
2,34,36,37,2,34,0,2,27,6,1,2,2
2,34,36,37,2,34,0,2,28,5,1,2,2
2,34,36,37,2,34,0,2,29,4,1,2,2
2,34,36,37,2,34,0,2,30,3,1,2,1
2,34,36,37,2,34,0,2,31,31,0,2,1
2,34,36,37,2,34,0,2,32,32,0,2,1
2,35,37,38,2,35,0,2,1,33,1,2,0
2,35,37,38,2,35,0,2,2,32,1,2,1
2,35,37,38,2,35,0,2,3,31,1,2,1
2,35,37,38,2,35,0,2,4,4,0,2,2
2,35,37,38,2,35,0,2,5,5,0,2,2
2,35,37,38,2,35,0,2,6,6,0,2,2
2,35,37,38,2,35,0,2,7,7,0,2,2
